year,Price,kms_driven,fuel_type,Brand,Model
2016,675000.0,9000.0,Diesel,Mahindra,TUV300 T4 Plus
2013,1891111.0,13000.0,Petrol,Mini,Cooper S 1.6
2013,1891111.0,13000.0,Petrol,Mini,Cooper S 1.6
2008,150000.0,11000.0,Petrol,Tata,Indica V2 Xeta e GLE
2013,1891111.0,13000.0,Petrol,Mini,Cooper S
2009,72500.0,46000.0,Diesel,Tata,Indigo CS LS DiCOR
2019,610000.0,73.0,Petrol,Maruti,Suzuki Swift VXi 1.2 ABS BS IV
2004,230000.0,160000.0,Diesel,Mahindra,Scorpio VLX Special Edition BS III
2009,175000.0,58559.0,Petrol,Honda,Accord
2015,855000.0,30000.0,Diesel,Mahindra,Scorpio S4
2013,375000.0,55000.0,Diesel,Chevrolet,Tavera Neo
2014,520000.0,57000.0,Diesel,Ford,EcoSport Titanium 1.5 TDCi
2015,524999.0,50000.0,Diesel,Maruti,Suzuki Ertiga
2014,299999.0,37000.0,Petrol,Honda,Amaze
2012,299999.0,40000.0,Petrol,Maruti,Suzuki Dzire
2011,284999.0,55000.0,Petrol,Honda,City
2007,220000.0,170000.0,Diesel,Mahindra,Scorpio 2.6 CRDe
2014,424999.0,55000.0,Diesel,Maruti,Suzuki Dzire
2015,644999.0,39000.0,Petrol,Honda,City
2014,399999.0,44000.0,Petrol,Honda,Mobilio
2009,199999.0,65000.0,Petrol,Toyota,Corolla Altis
2014,584999.0,39000.0,Petrol,Honda,City
2012,349999.0,44000.0,Diesel,Skoda,Laura
2015,449999.0,49000.0,Diesel,Renault,Duster
2018,799999.0,9000.0,Diesel,Maruti,Suzuki Ertiga
2015,444999.0,45000.0,Diesel,Maruti,Suzuki Dzire
2014,649999.0,47000.0,Diesel,Mahindra,XUV500
2012,444999.0,40000.0,Diesel,Hyundai,Verna Fluidic
2016,689999.0,29000.0,Diesel,Maruti,Suzuki Vitara Brezza
2016,344999.0,15000.0,Petrol,Maruti,Suzuki Wagon R
2015,944999.0,45000.0,Diesel,Mahindra,Scorpio
2014,274999.0,35000.0,Petrol,Honda,Amaze
2013,689999.0,80000.0,Diesel,Mahindra,XUV500
2013,574999.0,68000.0,Diesel,Mahindra,Scorpio
2013,374999.0,50000.0,Diesel,Skoda,Laura
2010,199999.0,60000.0,Diesel,Volkswagen,Polo
